ID,Name ,Password,Email,Qualification,Speciality,Phone ,Hospital
1,Viola Davis,qwerty1234,viola.davis@gmail.com,"MBBS, BMBS, MBChB, MBBCh",Cardiologist,9847362598,Medanta Medicity
2,Rajkumar Santoshi,amrajkumarsantoshi,rajkumarsantoshi1978@yahoo.co.in,"MD, Dr.MuD, Dr.Med",Neurologist,9275653944,Apollo
3,Tanmay Bhatt,123456789AB,tanmaybhattdoc@hotmail.com,"MBBS, BMBS, MD",Ophthalmologist,8735274937,Lucid
4,Thomas Cook,81koocsamoht,thomascook18@gmail.com,"MBBS, MD",Pathologist,9477583634,Apollo
5,Dev Patel,cc95aradhya,devpatel@rediffmail.com,"MBBS, BMBS",Orthopedic,9866343436,Max
6,Vrinda Gupta,vrindadoctorgupta,docvrinda@gmail.com,"MBBS, MD, DO",Ophthalmologist,9983545373,Privat
7,Priyanka Aghhi,aghhinetwork35,priyankaaghhi86@yahoo.com,"MBBS, BMBS, MD",Neurologist,9265474473,Gangaram
8,Anugya Sharma,medicityanugya,anugyaa@yahoo.com,"MBBS, MD, DO",Pediatrician,8873647389,Yashoda
9,Shubham Rastogi,maxdoctorrastogi,doctorrastogi@yahoo.co.in,"MBBS, MD",Sleep disorders specialist,8814242523,Fortis
10,Rattan Tyrewala,rattan12345,rattanorthopedic@gmail.com,"MBBS, BMBS, MD",Orthopedic,8253426374,Seven Hills
11,Sameeksha Shetty,elephantchocolate,sameeksheety@hotmail.com,"MBBS, BMBS",Urologist,9823663724,Privat
12,Ashna Anand,cleandryandfresh,ashnadoctoranand@hotmail.com,"MD, Dr.MuD, Dr.Med",Dermatologist,9823732637,Medanta Medicity
13,Shubh Kalra,iwintowin,shubhkalra@gmail.com,"MD, Dr.MuD, Dr.Med",Orthopedic,8235237234,AIIMS
14,Anushreshth Upadhaya,londonchester,anuupadhaya@rediffmail.com,"MBBS, BMBS",Dermatologist,8937237843,Sunrise
15,Sunita Nagpal,qutubminar,doctorsunitanagpal@hotmail.com,"MBBS, MD, DO",Physiatrist,8125634748,Gangaram
